timestamp,formula,domain_size,algorithm,result,status
20250729_110035,4-regular-graph,2,dr,0,completed
2025-07-29T11:00:35.995577,4-regular-graph,2,ganak,16,completed
2025-07-29T11:00:36.089002,4-regular-graph,2,approxmc,16,completed
20250729_110036,4-regular-graph,3,dr,0,completed
2025-07-29T11:00:36.337333,4-regular-graph,3,ganak,512,completed
2025-07-29T11:00:36.429824,4-regular-graph,3,approxmc,512,completed
20250729_110036,4-regular-graph,4,dr,0,completed
2025-07-29T11:00:36.712356,4-regular-graph,4,ganak,0,completed
2025-07-29T11:00:36.807772,4-regular-graph,4,approxmc,0,completed
20250729_110036,4-regular-graph,5,dr,1,completed
2025-07-29T11:00:37.155450,4-regular-graph,5,ganak,1,completed
2025-07-29T11:00:37.251867,4-regular-graph,5,approxmc,1,completed
20250729_110037,4-regular-graph,6,dr,15,completed
2025-07-29T11:00:37.965984,4-regular-graph,6,ganak,15,completed
2025-07-29T11:00:38.060591,4-regular-graph,6,approxmc,15,completed
20250729_110038,4-regular-graph,7,dr,465,completed
2025-07-29T11:00:39.880749,4-regular-graph,7,ganak,465,completed
2025-07-29T11:00:39.991483,4-regular-graph,7,approxmc,465,completed
20250729_110040,4-regular-graph,8,dr,19355,completed
2025-07-29T11:00:46.329603,4-regular-graph,8,ganak,19355,completed
2025-07-29T11:00:53.116648,4-regular-graph,8,approxmc,19440,completed
20250729_110053,4-regular-graph,9,dr,1024380,completed
2025-07-29T11:17:33.388717,4-regular-graph,9,ganak,TIMEOUT,timeout
2025-07-29T11:34:13.510842,4-regular-graph,9,approxmc,TIMEOUT,timeout
20250729_113413,4-regular-graph,10,dr,66462606,completed
20250729_113413,4-regular-graph,11,dr,5188453830,completed
20250729_113414,4-regular-graph,12,dr,480413921130,completed
20250729_113414,4-regular-graph,13,dr,52113376310985,completed
20250729_113414,4-regular-graph,14,dr,6551246596501035,completed
20250729_113414,4-regular-graph,15,dr,945313907253606891,completed
20250729_113415,4-regular-graph,16,dr,155243722248524067795,completed
20250729_113415,4-regular-graph,17,dr,28797220460586826422720,completed
20250729_113415,4-regular-graph,18,dr,5993002310427150494060340,completed
20250729_113416,4-regular-graph,19,dr,1390759561507559001823665540,completed
20250729_113417,4-regular-graph,20,dr,357920518512934324278467820756,completed
20250729_113417,4-regular-graph,21,dr,101644510154876155550250293031135,completed
20250729_113418,4-regular-graph,22,dr,31708366992337205881676026606689585,completed
20250729_113419,4-regular-graph,23,dr,10820717276301729136958239832174266995,completed
20250729_113420,4-regular-graph,24,dr,4024198130470044458182857004938258718845,completed
20250729_113421,4-regular-graph,25,dr,1625266468292616468322622354986080118964676,completed
20250729_113423,4-regular-graph,26,dr,710541562719038564497177435238522052461905950,completed
20250729_113424,4-regular-graph,27,dr,335255627573433647189540543989593738946574950950,completed
20250729_113427,4-regular-graph,28,dr,170247020492440568533118945839940602431562861249650,completed
20250729_113429,4-regular-graph,29,dr,92806550484635529288139898051471032653850237781032275,completed
20250729_113432,4-regular-graph,30,dr,54178571689579205256256214619696958221103299101023824201,completed
20250729_113435,4-regular-graph,31,dr,33794692140133684291976181563114413932853044724371478285965,completed
20250729_113438,4-regular-graph,32,dr,22476328600546173080239697209124296987246689133867853784814665,completed
20250729_113442,4-regular-graph,33,dr,15907363068253082277300199487108408903556151429958758646910494880,completed
20250729_113446,4-regular-graph,34,dr,11957987705781470938768598527332781180369486004760944881360820696280,completed
20250729_113451,4-regular-graph,35,dr,9531099231705475033605002655084696725795231760798413523105145502142456,completed
20250729_113456,4-regular-graph,36,dr,8041435567798214137358722061601705722470896320294505083604883838990780280,completed
20250729_113503,4-regular-graph,37,dr,7170508640443526407329766830556763927046549115820657845780583858385663594705,completed
20250729_113509,4-regular-graph,38,dr,6747585899282485840624265233443334439009355698573231959003015073131753785087135,completed
20250729_113517,4-regular-graph,39,dr,6691426070354712825030678076385065403506525129136633893427841539740916073979744185,completed
20250729_113526,4-regular-graph,40,dr,6983632392150597382455397520942728300507766799097643496328291058410000012155962088891,completed
20250729_113535,4-regular-graph,41,dr,7661004637055134182895094633487433093953640276393238804618590583829648033219052642534620,completed
20250729_113545,4-regular-graph,42,dr,8822822731531810505878429802949343284740749111274838235237570532338773478370886237455063670,completed
20250729_113557,4-regular-graph,43,dr,10654850392478807436303523044041382374205742888948539912048656013463742155160211803630489394990,completed
20250729_113609,4-regular-graph,44,dr,13478098653049410246147771670886072868430423112834485540171092277281668055019288737379454463444690,completed
20250729_113623,4-regular-graph,45,dr,17840060665540280863502784745259627038259179711698536699128536863129266008073886119166324430132289281,completed
20250729_113638,4-regular-graph,46,dr,24683994042631725774099024740134371063583417371400180504776041882750926291040060492349176190339948158835,completed
20250729_113653,4-regular-graph,47,dr,35667255041843475795641510678055411624978675696323652582949106998987632002300689390223954125671277135249035,completed
20250729_113711,4-regular-graph,48,dr,53772520630414285690141369198552930143175413373273352413129747301758107575592331280641380275202281129189032395,completed
20250729_113730,4-regular-graph,49,dr,84509463015639144341656096147349425101965597187103031265136520290279158256553149485563198292823829141082013713120,completed
