timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20251120_084647,5-regular-graph-2-colored,2,fast,0,0.5404,24457216,23884.0,23.32421875,0
20251120_084647,5-regular-graph-2-colored,5,fast,0,0.6106,25808896,25204.0,24.61328125,0
20251120_084648,5-regular-graph-2-colored,8,fast,0,0.8377,26124288,25512.0,24.9140625,0
20251120_084650,5-regular-graph-2-colored,11,fast,0,1.8716,29016064,28336.0,27.671875,0
20251120_084655,5-regular-graph-2-colored,14,fast,10676746080,4.8773,36216832,35368.0,34.5390625,10676746080
20251120_084708,5-regular-graph-2-colored,17,fast,0,12.921,55865344,54556.0,53.27734375,0
20251120_084738,5-regular-graph-2-colored,20,fast,1244556745912502206696512,30.2405,91316224,89176.0,87.0859375,1244556745912502206696512
20251120_084848,5-regular-graph-2-colored,23,fast,0,69.7896,195919872,191328.0,186.84375,0
20251120_085124,5-regular-graph-2-colored,26,fast,9207472042250981509330894474503098496000,156.3081,300568576,293524.0,286.64453125,9207472042250981509330894474503098496000
20251120_085648,5-regular-graph-2-colored,29,fast,0,324.4494,480927744,469656.0,458.6484375,0
20251120_090739,5-regular-graph-2-colored,32,fast,1913557228358679744616653166937559376497552075229376102400,650.2437,700350464,683936.0,667.90625,1913557228358679744616653166937559376497552075229376102400
20251120_092816,5-regular-graph-2-colored,35,fast,0,1237.7664,1118961664,1092736.0,1067.125,0
20251120_100801,5-regular-graph-2-colored,38,fast,6246861657014632369638567281796139012351020410767016703913361317191395328000,2384.4958,1780981760,1739240.0,1698.4765625,6246861657014632369638567281796139012351020410767016703913361317191395328000
20251120_112034,5-regular-graph-2-colored,41,fast,0,4353.3575,2490363904,2431996.0,2374.99609375,0
20251120_133409,5-regular-graph-2-colored,44,fast,211032248212205484935189605583737649712958083601728895275756766758695545241847535004579679436800,8014.7368,3819528192,3730008.0,3642.5859375,211032248212205484935189605583737649712958083601728895275756766758695545241847535004579679436800
20251120_172709,5-regular-graph-2-colored,47,fast,0,13980.2221,6411362304,6261096.0,6114.3515625,0
20251120_213710,5-regular-graph-2-colored,50,fast,timeout,15000.3714,4520247296,4414304.0,4310.84375,timeout
20251120_213710,5-regular-graph-2-colored,2,recursive,0,0.5353,24317952,23748.0,23.19140625,0
20251120_213711,5-regular-graph-2-colored,5,recursive,0,0.6041,26316800,25700.0,25.09765625,0
20251120_213714,5-regular-graph-2-colored,8,recursive,0,3.0123,64790528,63272.0,61.7890625,0
20251120_213809,5-regular-graph-2-colored,11,recursive,0,55.546,961486848,938952.0,916.9453125,0
20251120_215402,5-regular-graph-2-colored,14,recursive,10676746080,952.5919,10553065472,10305728.0,10064.1875,10676746080
20251121_020405,5-regular-graph-2-colored,17,recursive,timeout,15002.648,80839450624,78944776.0,77094.5078125,timeout
20251121_020405,5-regular-graph-2-colored,2,dr,0,0.1649,17231872,16828.0,16.43359375,0
20251121_020405,5-regular-graph-2-colored,5,dr,0,0.1644,18083840,17660.0,17.24609375,0
20251121_020405,5-regular-graph-2-colored,8,dr,0,0.163,18407424,17976.0,17.5546875,0
20251121_020405,5-regular-graph-2-colored,11,dr,0,0.1913,18100224,17676.0,17.26171875,0
20251121_020406,5-regular-graph-2-colored,14,dr,10676746080,0.3387,23552000,23000.0,22.4609375,10676746080
20251121_020407,5-regular-graph-2-colored,17,dr,0,1.2047,25493504,24896.0,24.3125,0
20251121_020412,5-regular-graph-2-colored,20,dr,1244556745912502206696512,5.3614,26972160,26340.0,25.72265625,1244556745912502206696512
20251121_020423,5-regular-graph-2-colored,23,dr,0,11.2138,29949952,29248.0,28.5625,0
20251121_020458,5-regular-graph-2-colored,26,dr,9207472042250981509330894474503098496000,34.8128,80674816,78784.0,76.9375,9207472042250981509330894474503098496000
20251121_020553,5-regular-graph-2-colored,29,dr,0,54.6347,86241280,84220.0,82.24609375,0
20251121_020738,5-regular-graph-2-colored,32,dr,1913557228358679744616653166937559376497552075229376102400,105.0082,99938304,97596.0,95.30859375,1913557228358679744616653166937559376497552075229376102400
20251121_021045,5-regular-graph-2-colored,35,dr,0,187.1146,119590912,116788.0,114.05078125,0
20251121_021603,5-regular-graph-2-colored,38,dr,6246861657014632369638567281796139012351020410767016703913361317191395328000,318.1826,143269888,139912.0,136.6328125,6246861657014632369638567281796139012351020410767016703913361317191395328000
20251121_022440,5-regular-graph-2-colored,41,dr,0,516.6962,181800960,177540.0,173.37890625,0
20251121_023810,5-regular-graph-2-colored,44,dr,211032248212205484935189605583737649712958083601728895275756766758695545241847535004579679436800,810.4094,242552832,236868.0,231.31640625,211032248212205484935189605583737649712958083601728895275756766758695545241847535004579679436800
20251121_025849,5-regular-graph-2-colored,47,dr,0,1239.1182,305790976,298624.0,291.625,0
20251121_033942,5-regular-graph-2-colored,50,dr,54089184755843061546654789724823443263267928492064257156876092326801493432550517238444290183168128345945633560330240,2452.4559,417488896,407704.0,398.1484375,54089184755843061546654789724823443263267928492064257156876092326801493432550517238444290183168128345945633560330240
20251121_042353,5-regular-graph-2-colored,53,dr,0,2651.0149,529285120,516880.0,504.765625,0
20251121_052645,5-regular-graph-2-colored,56,dr,82843075499782894383336656968581283842683424432430312940499144132296922005523896987884358974687561458470723714384426001840138823925760000,3772.1887,741466112,724088.0,707.1171875,82843075499782894383336656968581283842683424432430312940499144132296922005523896987884358974687561458470723714384426001840138823925760000
20251121_072210,5-regular-graph-2-colored,59,dr,0,6925.2813,910729216,889384.0,868.5390625,0
20251121_092019,5-regular-graph-2-colored,62,dr,627649253247128625713730651670108730264611083565083834560058501938216312385806080285530812380288919872119563065257098417857778906389564196709213911869076275200,7088.85,1158201344,1131056.0,1104.546875,627649253247128625713730651670108730264611083565083834560058501938216312385806080285530812380288919872119563065257098417857778906389564196709213911869076275200
20251121_115910,5-regular-graph-2-colored,65,dr,0,9530.9376,1537060864,1501036.0,1465.85546875,0
20251121_153018,5-regular-graph-2-colored,68,dr,20183325992371064578770950303381033562770269623899493967669435248726106133225406473643229412858631034463372462525597714438700392412828487735510308279592473898547235915022882308096000,12667.4331,1920376832,1875368.0,1831.4140625,20183325992371064578770950303381033562770269623899493967669435248726106133225406473643229412858631034463372462525597714438700392412828487735510308279592473898547235915022882308096000
20251121_194018,5-regular-graph-2-colored,71,dr,timeout,15000.2389,2106593280,2057220.0,2009.00390625,timeout
